taxid,parent,taxonomic_rank,scientific_name
1,1,no rank,root
131567,1,cellular root,cellular organisms
2759,131567,domain,Eukaryota
33154,2759,clade,Opisthokonta
33208,33154,kingdom,Metazoa
6072,33208,clade,Eumetazoa
6073,6072,phylum,Cnidaria
6142,6073,class,Scyphozoa
37535,6142,order,Rhizostomeae
33213,6072,clade,Bilateria
33317,33213,clade,Protostomia
33511,33213,clade,Deuterostomia
7711,33511,phylum,Chordata
2697495,33317,clade,Spiralia
2576883,37535,family,Stomolophidae
1206795,2697495,clade,Lophotrochozoa
1206794,33317,clade,Ecdysozoa
6231,1206794,phylum,Nematoda
89593,7711,subphylum,Craniata
1215728,1206794,superphylum,Scalidophora
33467,1215728,phylum,Priapulida
7742,89593,clade,Vertebrata
168795,2576883,genus,Stomolophus
1476529,7742,clade,Cyclostomata
168796,168795,species,Stomolophus meleagris
43120,1206795,phylum,Entoprocta
119089,6231,class,Chromadorea
2082883,33467,class,Priapulimorpha
6447,1206795,phylum,Mollusca
6448,6447,class,Gastropoda
2082909,2082883,order,Priapulimorphida
117569,1476529,class,Hyperoartia
37891,2082909,family,Priapulidae
88770,1206794,clade,Panarthropoda
6217,1206795,phylum,Nemertea
7776,7742,clade,Gnathostomata
7745,117569,order,Petromyzontiformes
6236,119089,order,Rhabditida
6656,88770,phylum,Arthropoda
231594,43120,family,Loxosomatidae
117570,7776,clade,Teleostomi
160676,37891,genus,Halicryptus
7746,7745,family,Petromyzontidae
160677,160676,species,Halicryptus spinulosus
7777,7776,class,Chondrichthyes
216275,6448,subclass,Vetigastropoda
6218,6217,class,Pilidiophora
6843,6656,subphylum,Chelicerata
7778,7777,subclass,Elasmobranchii
393180,231594,genus,Loxocorone
7772,7746,genus,Ichthyomyzon
6854,6843,class,Arachnida
6274,6236,suborder,Spirurina
61977,6854,order,Amblypygi
117571,117570,clade,Euteleostomi
197563,6656,clade,Mandibulata
7863,7777,subclass,Holocephali
2072716,6274,infraorder,Spiruromorpha
197562,197563,clade,Pancrustacea
2315720,216275,order,Trochida
8287,117571,superclass,Sarcopterygii
13103,7746,genus,Lampetra
117893,7778,superorder,Batoidea
317662,61977,family,Phrynichidae
117887,117893,order,Rhinopristiformes
117888,117893,order,Torpediniformes
7858,117893,order,Rajiformes
7860,117887,family,Rhinobatidae
117879,117887,family,Rhynchobatidae
30480,117888,family,Torpedinidae
